combo_key,raw_p_value,bh_adjusted_p_value,flagged_significant
applicant_name,1.0,1.0,False
zip_code,1.0,1.0,False
applicant_name+zip_code,1.0,1.0,False
applicant_name,1.0,1.0,False
applicant_name+zip_code,1.0,1.0,False
zip_code,1.0,1.0,False
applicant_name,1.0,1.0,False
zip_code,1.0,1.0,False
applicant_name+zip_code,1.0,1.0,False
applicant_name+zip_code,0.14285714285714285,1.0,False
applicant_name+zip_code,0.42857142857142855,1.0,False
applicant_name+zip_code,1.0,1.0,False
applicant_name+zip_code,1.0,1.0,False
applicant_name+zip_code,0.14285714285714285,1.0,False
applicant_name+zip_code,1.0,1.0,False
applicant_name+zip_code,1.0,1.0,False
zip_code,0.42857142857142855,1.0,False
applicant_name,1.0,1.0,False
applicant_name+zip_code,1.0,1.0,False
zip_code,1.0,1.0,False
